,Fecha_Retiro,Ciclo_Estacion_Retiro,ct,index
43495,2021-10-31,386.0,24,43495
43494,2021-10-31,385.0,23,43494
43493,2021-10-31,384.0,28,43493
43492,2021-10-31,383.0,7,43492
43491,2021-10-31,382.0,6,43491
43490,2021-10-31,381.0,14,43490
43489,2021-10-31,380.0,7,43489
43488,2021-10-31,379.0,4,43488
43487,2021-10-31,378.0,3,43487
43486,2021-10-31,377.0,12,43486
43485,2021-10-31,376.0,5,43485
43484,2021-10-31,375.0,10,43484
43483,2021-10-31,374.0,15,43483
43482,2021-10-31,373.0,4,43482
43481,2021-10-31,372.0,17,43481
43480,2021-10-31,371.0,8,43480
43479,2021-10-31,370.0,6,43479
43478,2021-10-31,369.0,27,43478
43477,2021-10-31,368.0,10,43477
43476,2021-10-31,367.0,4,43476
43475,2021-10-31,366.0,5,43475
43474,2021-10-31,365.0,17,43474
43473,2021-10-31,364.0,9,43473
43472,2021-10-31,363.0,12,43472
43471,2021-10-31,362.0,5,43471
43470,2021-10-31,361.0,8,43470
43469,2021-10-31,360.0,12,43469
43468,2021-10-31,359.0,9,43468
43467,2021-10-31,358.0,5,43467
43466,2021-10-31,357.0,9,43466
43465,2021-10-31,356.0,11,43465
43464,2021-10-31,354.0,7,43464
43463,2021-10-31,353.0,3,43463
43462,2021-10-31,352.0,4,43462
43461,2021-10-31,351.0,22,43461
43460,2021-10-31,350.0,10,43460
43459,2021-10-31,349.0,10,43459
43458,2021-10-31,348.0,12,43458
43457,2021-10-31,347.0,16,43457
43456,2021-10-31,345.0,2,43456
43455,2021-10-31,344.0,4,43455
43454,2021-10-31,343.0,3,43454
43453,2021-10-31,342.0,7,43453
43452,2021-10-31,341.0,21,43452
43451,2021-10-31,340.0,26,43451
43450,2021-10-31,339.0,7,43450
43449,2021-10-31,338.0,9,43449
43448,2021-10-31,336.0,6,43448
43447,2021-10-31,335.0,9,43447
43446,2021-10-31,334.0,7,43446
43445,2021-10-31,333.0,10,43445
43444,2021-10-31,332.0,1,43444
43443,2021-10-31,331.0,34,43443
43442,2021-10-31,330.0,14,43442
43441,2021-10-31,329.0,8,43441
43440,2021-10-31,328.0,12,43440
43439,2021-10-31,327.0,25,43439
43438,2021-10-31,326.0,22,43438
43437,2021-10-31,325.0,14,43437
43436,2021-10-31,324.0,12,43436
43435,2021-10-31,323.0,8,43435
43434,2021-10-31,322.0,7,43434
43433,2021-10-31,321.0,35,43433
43432,2021-10-31,320.0,9,43432
43431,2021-10-31,319.0,8,43431
43430,2021-10-31,318.0,10,43430
43429,2021-10-31,317.0,15,43429
43428,2021-10-31,316.0,19,43428
43427,2021-10-31,314.0,6,43427
43426,2021-10-31,313.0,8,43426
43425,2021-10-31,312.0,9,43425
43424,2021-10-31,311.0,7,43424
43423,2021-10-31,310.0,22,43423
43422,2021-10-31,309.0,11,43422
43421,2021-10-31,308.0,18,43421
43420,2021-10-31,307.0,5,43420
43419,2021-10-31,306.0,24,43419
43418,2021-10-31,305.0,9,43418
43417,2021-10-31,304.0,9,43417
43416,2021-10-31,303.0,11,43416
43415,2021-10-31,302.0,26,43415
43414,2021-10-31,301.0,13,43414
43413,2021-10-31,300.0,16,43413
43412,2021-10-31,299.0,26,43412
43411,2021-10-31,298.0,9,43411
43410,2021-10-31,297.0,20,43410
43409,2021-10-31,296.0,16,43409
43408,2021-10-31,295.0,42,43408
43407,2021-10-31,294.0,9,43407
43406,2021-10-31,293.0,25,43406
43405,2021-10-31,291.0,15,43405
43404,2021-10-31,290.0,14,43404
43403,2021-10-31,289.0,6,43403
43402,2021-10-31,288.0,16,43402
43401,2021-10-31,287.0,11,43401
43400,2021-10-31,286.0,25,43400
43399,2021-10-31,285.0,22,43399
43398,2021-10-31,284.0,9,43398
43397,2021-10-31,283.0,10,43397
43396,2021-10-31,282.0,12,43396
43395,2021-10-31,281.0,22,43395
43394,2021-10-31,280.0,20,43394
43393,2021-10-31,279.0,11,43393
43392,2021-10-31,278.0,12,43392
43391,2021-10-31,277.0,13,43391
43390,2021-10-31,276.0,38,43390
43389,2021-10-31,275.0,8,43389
43388,2021-10-31,274.0,23,43388
43387,2021-10-31,273.0,5,43387
43386,2021-10-31,272.0,24,43386
43385,2021-10-31,271.0,40,43385
43384,2021-10-31,270.0,96,43384
43383,2021-10-31,269.0,4,43383
43382,2021-10-31,268.0,4,43382
43381,2021-10-31,267.0,7,43381
43380,2021-10-31,266.0,50,43380
43379,2021-10-31,265.0,14,43379
43378,2021-10-31,264.0,5,43378
43377,2021-10-31,263.0,30,43377
43376,2021-10-31,262.0,14,43376
43375,2021-10-31,261.0,33,43375
43374,2021-10-31,260.0,23,43374
43373,2021-10-31,259.0,19,43373
43372,2021-10-31,258.0,38,43372
43371,2021-10-31,257.0,14,43371
43370,2021-10-31,256.0,27,43370
43369,2021-10-31,255.0,9,43369
43368,2021-10-31,254.0,35,43368
43367,2021-10-31,253.0,18,43367
43366,2021-10-31,252.0,11,43366
43365,2021-10-31,251.0,12,43365
43364,2021-10-31,250.0,11,43364
43363,2021-10-31,249.0,7,43363
43362,2021-10-31,248.0,17,43362
43361,2021-10-31,247.0,11,43361
43360,2021-10-31,246.0,5,43360
43359,2021-10-31,245.0,3,43359
43358,2021-10-31,244.0,9,43358
43357,2021-10-31,243.0,13,43357
43356,2021-10-31,242.0,31,43356
43355,2021-10-31,241.0,18,43355
43354,2021-10-31,240.0,7,43354
43353,2021-10-31,239.0,10,43353
43352,2021-10-31,238.0,25,43352
43351,2021-10-31,237.0,39,43351
43350,2021-10-31,236.0,6,43350
43349,2021-10-31,235.0,2,43349
43348,2021-10-31,234.0,16,43348
43347,2021-10-31,233.0,52,43347
43346,2021-10-31,232.0,33,43346
43345,2021-10-31,231.0,24,43345
43344,2021-10-31,230.0,15,43344
43343,2021-10-31,229.0,6,43343
43342,2021-10-31,228.0,7,43342
43341,2021-10-31,227.0,4,43341
43340,2021-10-31,226.0,6,43340
43339,2021-10-31,225.0,11,43339
43338,2021-10-31,224.0,12,43338
43337,2021-10-31,223.0,25,43337
43336,2021-10-31,222.0,2,43336
43335,2021-10-31,221.0,18,43335
43334,2021-10-31,220.0,1,43334
43333,2021-10-31,219.0,9,43333
43332,2021-10-31,218.0,10,43332
43331,2021-10-31,217.0,36,43331
43330,2021-10-31,216.0,15,43330
43329,2021-10-31,215.0,11,43329
43328,2021-10-31,214.0,4,43328
43327,2021-10-31,213.0,2,43327
43326,2021-10-31,212.0,13,43326
43325,2021-10-31,211.0,23,43325
43324,2021-10-31,210.0,23,43324
43323,2021-10-31,209.0,8,43323
43322,2021-10-31,208.0,21,43322
43321,2021-10-31,207.0,8,43321
43320,2021-10-31,206.0,42,43320
43319,2021-10-31,205.0,12,43319
43318,2021-10-31,204.0,14,43318
43317,2021-10-31,203.0,4,43317
43316,2021-10-31,202.0,9,43316
43315,2021-10-31,201.0,6,43315
43314,2021-10-31,200.0,9,43314
43313,2021-10-31,198.0,4,43313
43312,2021-10-31,197.0,51,43312
43311,2021-10-31,196.0,6,43311
43310,2021-10-31,195.0,97,43310
43309,2021-10-31,194.0,116,43309
43308,2021-10-31,192.0,65,43308
43307,2021-10-31,191.0,10,43307
43306,2021-10-31,190.0,17,43306
43305,2021-10-31,189.0,17,43305
43304,2021-10-31,188.0,19,43304
43303,2021-10-31,187.0,33,43303
43302,2021-10-31,186.0,25,43302
43301,2021-10-31,185.0,20,43301
43300,2021-10-31,184.0,13,43300
43299,2021-10-31,183.0,30,43299
43298,2021-10-31,182.0,70,43298
43297,2021-10-31,181.0,17,43297
43296,2021-10-31,180.0,36,43296
43295,2021-10-31,179.0,19,43295
43294,2021-10-31,178.0,19,43294
43293,2021-10-31,177.0,10,43293
43292,2021-10-31,176.0,5,43292
43291,2021-10-31,175.0,20,43291
43290,2021-10-31,174.0,47,43290
43289,2021-10-31,173.0,21,43289
43288,2021-10-31,172.0,23,43288
43287,2021-10-31,171.0,33,43287
43286,2021-10-31,170.0,34,43286
43285,2021-10-31,169.0,22,43285
43284,2021-10-31,168.0,18,43284
43283,2021-10-31,167.0,17,43283
43282,2021-10-31,166.0,15,43282
43281,2021-10-31,165.0,34,43281
43280,2021-10-31,164.0,23,43280
43279,2021-10-31,163.0,30,43279
43278,2021-10-31,162.0,16,43278
43277,2021-10-31,161.0,17,43277
43276,2021-10-31,160.0,10,43276
43275,2021-10-31,159.0,10,43275
43274,2021-10-31,158.0,28,43274
43273,2021-10-31,157.0,4,43273
43272,2021-10-31,156.0,21,43272
43271,2021-10-31,155.0,10,43271
43270,2021-10-31,154.0,24,43270
43269,2021-10-31,153.0,31,43269
43268,2021-10-31,152.0,20,43268
43267,2021-10-31,151.0,31,43267
43266,2021-10-31,150.0,46,43266
43265,2021-10-31,149.0,25,43265
43264,2021-10-31,148.0,15,43264
43263,2021-10-31,147.0,25,43263
43262,2021-10-31,146.0,49,43262
43261,2021-10-31,145.0,31,43261
43260,2021-10-31,144.0,32,43260
43259,2021-10-31,143.0,20,43259
43258,2021-10-31,142.0,40,43258
43257,2021-10-31,141.0,42,43257
43256,2021-10-31,140.0,34,43256
43255,2021-10-31,139.0,21,43255
43254,2021-10-31,138.0,25,43254
43253,2021-10-31,137.0,31,43253
43252,2021-10-31,136.0,61,43252
43251,2021-10-31,135.0,28,43251
43250,2021-10-31,134.0,39,43250
43249,2021-10-31,133.0,36,43249
43248,2021-10-31,132.0,18,43248
43247,2021-10-31,131.0,42,43247
43246,2021-10-31,130.0,24,43246
43245,2021-10-31,129.0,28,43245
43244,2021-10-31,128.0,44,43244
43243,2021-10-31,127.0,36,43243
43242,2021-10-31,126.0,37,43242
43241,2021-10-31,125.0,71,43241
43240,2021-10-31,124.0,30,43240
43239,2021-10-31,122.0,7,43239
43238,2021-10-31,121.0,39,43238
43237,2021-10-31,120.0,29,43237
43236,2021-10-31,119.0,45,43236
43235,2021-10-31,118.0,20,43235
43234,2021-10-31,117.0,36,43234
43233,2021-10-31,116.0,35,43233
43232,2021-10-31,115.0,56,43232
43231,2021-10-31,114.0,23,43231
43230,2021-10-31,113.0,23,43230
43229,2021-10-31,112.0,10,43229
43228,2021-10-31,111.0,22,43228
43227,2021-10-31,110.0,23,43227
43226,2021-10-31,109.0,12,43226
43225,2021-10-31,108.0,17,43225
43224,2021-10-31,107.0,38,43224
43223,2021-10-31,106.0,18,43223
43222,2021-10-31,105.0,12,43222
43221,2021-10-31,104.0,10,43221
43220,2021-10-31,103.0,28,43220
43219,2021-10-31,102.0,16,43219
43218,2021-10-31,100.0,12,43218
43217,2021-10-31,99.0,17,43217
43216,2021-10-31,98.0,28,43216
43215,2021-10-31,97.0,11,43215
43214,2021-10-31,96.0,38,43214
43213,2021-10-31,95.0,40,43213
43212,2021-10-31,94.0,10,43212
43211,2021-10-31,93.0,25,43211
43210,2021-10-31,92.0,12,43210
43209,2021-10-31,91.0,22,43209
43208,2021-10-31,90.0,15,43208
43207,2021-10-31,89.0,15,43207
43206,2021-10-31,87.0,50,43206
43205,2021-10-31,86.0,36,43205
43204,2021-10-31,85.0,43,43204
43203,2021-10-31,84.0,21,43203
43202,2021-10-31,83.0,14,43202
43201,2021-10-31,82.0,31,43201
43200,2021-10-31,81.0,18,43200
43199,2021-10-31,80.0,44,43199
43198,2021-10-31,79.0,41,43198
43197,2021-10-31,78.0,11,43197
43196,2021-10-31,77.0,22,43196
43195,2021-10-31,76.0,14,43195
43194,2021-10-31,75.0,26,43194
43193,2021-10-31,74.0,46,43193
43192,2021-10-31,73.0,34,43192
43191,2021-10-31,72.0,31,43191
43190,2021-10-31,71.0,34,43190
43189,2021-10-31,70.0,66,43189
43188,2021-10-31,69.0,31,43188
43187,2021-10-31,68.0,39,43187
43186,2021-10-31,67.0,39,43186
43185,2021-10-31,66.0,36,43185
43184,2021-10-31,65.0,38,43184
43183,2021-10-31,64.0,63,43183
43182,2021-10-31,63.0,37,43182
43181,2021-10-31,62.0,17,43181
43180,2021-10-31,61.0,30,43180
43179,2021-10-31,60.0,45,43179
43178,2021-10-31,59.0,39,43178
43177,2021-10-31,58.0,33,43177
43176,2021-10-31,57.0,8,43176
43175,2021-10-31,56.0,65,43175
43174,2021-10-31,54.0,33,43174
43173,2021-10-31,53.0,54,43173
43172,2021-10-31,51.0,33,43172
43171,2021-10-31,50.0,20,43171
43170,2021-10-31,49.0,33,43170
43169,2021-10-31,48.0,23,43169
43168,2021-10-31,47.0,100,43168
43167,2021-10-31,46.0,60,43167
43166,2021-10-31,45.0,42,43166
43165,2021-10-31,44.0,33,43165
43164,2021-10-31,43.0,112,43164
43163,2021-10-31,42.0,31,43163
43162,2021-10-31,40.0,30,43162
43161,2021-10-31,39.0,31,43161
43160,2021-10-31,38.0,38,43160
43159,2021-10-31,37.0,51,43159
43158,2021-10-31,36.0,49,43158
43157,2021-10-31,35.0,43,43157
43156,2021-10-31,34.0,47,43156
43155,2021-10-31,33.0,49,43155
43154,2021-10-31,32.0,66,43154
43153,2021-10-31,31.0,81,43153
43152,2021-10-31,30.0,74,43152
43151,2021-10-31,29.0,126,43151
43150,2021-10-31,28.0,74,43150
43149,2021-10-31,27.0,123,43149
43148,2021-10-31,26.0,84,43148
43147,2021-10-31,25.0,62,43147
43146,2021-10-31,24.0,89,43146
43145,2021-10-31,23.0,44,43145
43144,2021-10-31,20.0,58,43144
43143,2021-10-31,19.0,32,43143
43142,2021-10-31,17.0,37,43142
43141,2021-10-31,15.0,83,43141
43140,2021-10-31,14.0,50,43140
43139,2021-10-31,13.0,44,43139
43138,2021-10-31,12.0,29,43138
43137,2021-10-31,11.0,29,43137
43136,2021-10-31,10.0,38,43136
43135,2021-10-31,9.0,42,43135
43134,2021-10-31,8.0,43,43134
43133,2021-10-31,7.0,52,43133
43132,2021-10-31,6.0,41,43132
43131,2021-10-31,5.0,38,43131
43130,2021-10-31,4.0,21,43130
43129,2021-10-31,3.0,75,43129
43128,2021-10-31,2.0,17,43128
43127,2021-10-31,1.0,52,43127
43126,2021-10-30,480.0,20,43126
43125,2021-10-30,479.0,13,43125
43124,2021-10-30,478.0,11,43124
43123,2021-10-30,477.0,10,43123
43122,2021-10-30,476.0,35,43122
43121,2021-10-30,475.0,12,43121
43120,2021-10-30,474.0,20,43120
43119,2021-10-30,473.0,5,43119
43118,2021-10-30,472.0,3,43118
43117,2021-10-30,471.0,8,43117
43116,2021-10-30,470.0,6,43116
43115,2021-10-30,469.0,6,43115
43114,2021-10-30,468.0,5,43114
43113,2021-10-30,467.0,13,43113
43112,2021-10-30,466.0,7,43112
43111,2021-10-30,465.0,11,43111
43110,2021-10-30,464.0,10,43110
43109,2021-10-30,463.0,10,43109
43108,2021-10-30,462.0,10,43108
43107,2021-10-30,461.0,21,43107
43106,2021-10-30,460.0,11,43106
43105,2021-10-30,459.0,5,43105
43104,2021-10-30,458.0,3,43104
43103,2021-10-30,457.0,4,43103
43102,2021-10-30,456.0,5,43102
43101,2021-10-30,455.0,12,43101
43100,2021-10-30,454.0,5,43100
43099,2021-10-30,453.0,8,43099
43098,2021-10-30,452.0,8,43098
43097,2021-10-30,451.0,3,43097
43096,2021-10-30,450.0,27,43096
43095,2021-10-30,449.0,17,43095
43094,2021-10-30,448.0,25,43094
43093,2021-10-30,447.0,25,43093
43092,2021-10-30,446.0,10,43092
43091,2021-10-30,445.0,7,43091
43090,2021-10-30,444.0,5,43090
43089,2021-10-30,443.0,8,43089
43088,2021-10-30,441.0,8,43088
43087,2021-10-30,439.0,16,43087
43086,2021-10-30,438.0,2,43086
43085,2021-10-30,437.0,4,43085
43084,2021-10-30,436.0,10,43084
43083,2021-10-30,435.0,11,43083
43082,2021-10-30,434.0,9,43082
43081,2021-10-30,433.0,9,43081
43080,2021-10-30,432.0,13,43080
43079,2021-10-30,430.0,10,43079
43078,2021-10-30,429.0,2,43078
43077,2021-10-30,428.0,12,43077
43076,2021-10-30,427.0,11,43076
43075,2021-10-30,426.0,12,43075
43074,2021-10-30,425.0,26,43074
43073,2021-10-30,424.0,4,43073
43072,2021-10-30,423.0,7,43072
43071,2021-10-30,422.0,8,43071
43070,2021-10-30,421.0,3,43070
43069,2021-10-30,420.0,22,43069
43068,2021-10-30,419.0,14,43068
43067,2021-10-30,418.0,6,43067
43066,2021-10-30,417.0,9,43066
43065,2021-10-30,416.0,18,43065
43064,2021-10-30,415.0,9,43064
43063,2021-10-30,414.0,11,43063
43062,2021-10-30,413.0,16,43062
43061,2021-10-30,412.0,9,43061
43060,2021-10-30,411.0,1,43060
43059,2021-10-30,409.0,9,43059
43058,2021-10-30,408.0,17,43058
43057,2021-10-30,407.0,3,43057
43056,2021-10-30,406.0,3,43056
43055,2021-10-30,405.0,14,43055
43054,2021-10-30,404.0,19,43054
43053,2021-10-30,403.0,2,43053
43052,2021-10-30,402.0,10,43052
43051,2021-10-30,401.0,2,43051
43050,2021-10-30,400.0,8,43050
43049,2021-10-30,399.0,8,43049
43048,2021-10-30,398.0,32,43048
43047,2021-10-30,397.0,9,43047
43046,2021-10-30,396.0,16,43046
43045,2021-10-30,395.0,11,43045
43044,2021-10-30,394.0,18,43044
43043,2021-10-30,393.0,12,43043
43042,2021-10-30,392.0,18,43042
43041,2021-10-30,391.0,39,43041
43040,2021-10-30,390.0,55,43040
43039,2021-10-30,389.0,23,43039
43038,2021-10-30,388.0,3,43038
43037,2021-10-30,387.0,7,43037
43036,2021-10-30,386.0,23,43036
43035,2021-10-30,385.0,34,43035
43034,2021-10-30,384.0,24,43034
43033,2021-10-30,383.0,6,43033
43032,2021-10-30,382.0,9,43032
43031,2021-10-30,381.0,18,43031
43030,2021-10-30,380.0,13,43030
43029,2021-10-30,379.0,8,43029
43028,2021-10-30,378.0,4,43028
43027,2021-10-30,377.0,19,43027
43026,2021-10-30,376.0,5,43026
43025,2021-10-30,375.0,9,43025
43024,2021-10-30,374.0,15,43024
43023,2021-10-30,373.0,9,43023
43022,2021-10-30,372.0,22,43022
43021,2021-10-30,371.0,8,43021
43020,2021-10-30,370.0,8,43020
43019,2021-10-30,369.0,20,43019
43018,2021-10-30,368.0,5,43018
43017,2021-10-30,367.0,5,43017
43016,2021-10-30,366.0,12,43016
43015,2021-10-30,365.0,15,43015
43014,2021-10-30,364.0,7,43014
43013,2021-10-30,363.0,10,43013
43012,2021-10-30,362.0,4,43012
43011,2021-10-30,361.0,17,43011
43010,2021-10-30,360.0,23,43010
43009,2021-10-30,359.0,17,43009
43008,2021-10-30,358.0,10,43008
43007,2021-10-30,357.0,17,43007
43006,2021-10-30,356.0,15,43006
43005,2021-10-30,355.0,5,43005
43004,2021-10-30,354.0,12,43004
43003,2021-10-30,353.0,11,43003
43002,2021-10-30,352.0,15,43002
43001,2021-10-30,351.0,25,43001
43000,2021-10-30,350.0,4,43000
42999,2021-10-30,349.0,14,42999
42998,2021-10-30,348.0,10,42998
42997,2021-10-30,347.0,9,42997
42996,2021-10-30,346.0,6,42996
42995,2021-10-30,345.0,3,42995
42994,2021-10-30,344.0,6,42994
42993,2021-10-30,343.0,3,42993
42992,2021-10-30,342.0,9,42992
42991,2021-10-30,341.0,16,42991
42990,2021-10-30,340.0,35,42990
42989,2021-10-30,339.0,9,42989
42988,2021-10-30,338.0,15,42988
42987,2021-10-30,336.0,11,42987
42986,2021-10-30,335.0,10,42986
42985,2021-10-30,334.0,11,42985
42984,2021-10-30,333.0,11,42984
42983,2021-10-30,332.0,14,42983
42982,2021-10-30,331.0,33,42982
42981,2021-10-30,330.0,5,42981
42980,2021-10-30,329.0,19,42980
42979,2021-10-30,328.0,9,42979
42978,2021-10-30,327.0,20,42978
42977,2021-10-30,326.0,20,42977
42976,2021-10-30,325.0,21,42976
42975,2021-10-30,324.0,16,42975
42974,2021-10-30,323.0,17,42974
42973,2021-10-30,322.0,10,42973
42972,2021-10-30,321.0,36,42972
42971,2021-10-30,320.0,13,42971
42970,2021-10-30,319.0,16,42970
42969,2021-10-30,318.0,12,42969
42968,2021-10-30,317.0,20,42968
42967,2021-10-30,316.0,19,42967
42966,2021-10-30,314.0,11,42966
42965,2021-10-30,313.0,12,42965
42964,2021-10-30,312.0,22,42964
42963,2021-10-30,311.0,6,42963
42962,2021-10-30,310.0,17,42962
42961,2021-10-30,309.0,11,42961
42960,2021-10-30,308.0,15,42960
42959,2021-10-30,307.0,5,42959
42958,2021-10-30,306.0,21,42958
42957,2021-10-30,305.0,16,42957
42956,2021-10-30,304.0,10,42956
42955,2021-10-30,303.0,23,42955
42954,2021-10-30,302.0,29,42954
42953,2021-10-30,301.0,18,42953
42952,2021-10-30,300.0,17,42952
42951,2021-10-30,299.0,36,42951
42950,2021-10-30,298.0,13,42950
42949,2021-10-30,297.0,34,42949
42948,2021-10-30,296.0,19,42948
42947,2021-10-30,295.0,36,42947
42946,2021-10-30,294.0,11,42946
42945,2021-10-30,293.0,14,42945
42944,2021-10-30,291.0,28,42944
42943,2021-10-30,290.0,14,42943
42942,2021-10-30,289.0,10,42942
42941,2021-10-30,288.0,18,42941
42940,2021-10-30,287.0,13,42940
42939,2021-10-30,286.0,35,42939
42938,2021-10-30,285.0,7,42938
42937,2021-10-30,284.0,15,42937
42936,2021-10-30,283.0,22,42936
42935,2021-10-30,282.0,13,42935
42934,2021-10-30,281.0,27,42934
42933,2021-10-30,280.0,18,42933
42932,2021-10-30,279.0,8,42932
42931,2021-10-30,278.0,10,42931
42930,2021-10-30,277.0,24,42930
42929,2021-10-30,276.0,56,42929
42928,2021-10-30,275.0,6,42928
42927,2021-10-30,274.0,28,42927
42926,2021-10-30,273.0,4,42926
42925,2021-10-30,272.0,17,42925
42924,2021-10-30,271.0,116,42924
42923,2021-10-30,270.0,47,42923
42922,2021-10-30,269.0,1,42922
42921,2021-10-30,268.0,7,42921
42920,2021-10-30,267.0,1,42920
42919,2021-10-30,266.0,42,42919
42918,2021-10-30,265.0,9,42918
42917,2021-10-30,264.0,6,42917
42916,2021-10-30,263.0,14,42916
42915,2021-10-30,262.0,29,42915
42914,2021-10-30,261.0,15,42914
42913,2021-10-30,260.0,29,42913
42912,2021-10-30,259.0,18,42912
42911,2021-10-30,258.0,30,42911
42910,2021-10-30,257.0,15,42910
42909,2021-10-30,256.0,37,42909
42908,2021-10-30,255.0,12,42908
42907,2021-10-30,254.0,34,42907
42906,2021-10-30,253.0,11,42906
42905,2021-10-30,252.0,5,42905
42904,2021-10-30,251.0,7,42904
42903,2021-10-30,250.0,10,42903
42902,2021-10-30,249.0,4,42902
42901,2021-10-30,248.0,15,42901
42900,2021-10-30,247.0,5,42900
42899,2021-10-30,246.0,9,42899
42898,2021-10-30,245.0,2,42898
42897,2021-10-30,244.0,10,42897
42896,2021-10-30,243.0,6,42896
42895,2021-10-30,242.0,34,42895
42894,2021-10-30,241.0,17,42894
42893,2021-10-30,240.0,12,42893
42892,2021-10-30,239.0,5,42892
42891,2021-10-30,238.0,17,42891
42890,2021-10-30,237.0,16,42890
42889,2021-10-30,236.0,5,42889
42888,2021-10-30,235.0,3,42888
42887,2021-10-30,234.0,18,42887
42886,2021-10-30,233.0,23,42886
42885,2021-10-30,232.0,18,42885
42884,2021-10-30,231.0,7,42884
42883,2021-10-30,230.0,14,42883
42882,2021-10-30,229.0,4,42882
42881,2021-10-30,228.0,5,42881
42880,2021-10-30,227.0,4,42880
42879,2021-10-30,226.0,8,42879
42878,2021-10-30,225.0,9,42878
42877,2021-10-30,224.0,8,42877
42876,2021-10-30,223.0,25,42876
42875,2021-10-30,222.0,15,42875
42874,2021-10-30,221.0,23,42874
42873,2021-10-30,219.0,9,42873
42872,2021-10-30,218.0,12,42872
42871,2021-10-30,217.0,45,42871
42870,2021-10-30,216.0,15,42870
42869,2021-10-30,215.0,5,42869
42868,2021-10-30,214.0,7,42868
42867,2021-10-30,213.0,1,42867
42866,2021-10-30,212.0,19,42866
42865,2021-10-30,211.0,25,42865
42864,2021-10-30,210.0,6,42864
42863,2021-10-30,209.0,8,42863
42862,2021-10-30,208.0,38,42862
42861,2021-10-30,207.0,17,42861
42860,2021-10-30,206.0,27,42860
42859,2021-10-30,205.0,14,42859
42858,2021-10-30,204.0,9,42858
42857,2021-10-30,203.0,4,42857
42856,2021-10-30,202.0,5,42856
42855,2021-10-30,201.0,10,42855
42854,2021-10-30,200.0,12,42854
42853,2021-10-30,199.0,2,42853
42852,2021-10-30,198.0,4,42852
